,Len,Functional grp name,SMARTS,Smiles,Validity
0,7,Acid anhydrides,[CX3](=[OX1])[OX2][CX3](=[OX1]),O=COC=O,Valid
1,8,Diacyl peroxides,[CX3](=[OX1])[OX2][OX2][CX3](=[OX1]),O=COOC=O,Valid
2,15,Phenyl esters,[cR1]1([OX2][CX3](=[OX1])[#6])[cR1][cR1][cR1][cR1][cR1]1,CC(=O)Oc1ccccc1,Valid
3,5,Isocyanates,[NX2]=[CX2]=[OX1],N=C=O,Valid
4,8,β-Lactams,[NX3]1[CX4][CX4][CX3]1(=[OX1]),O=C1CCN1,Valid
5,4,Thioesters,[CX3](=[SX1])[SX2],SC=S,Valid
6,13,N-Chloro-sulfonamides,[Sv6X4](=[OX1])(=[OX1])[NX3H1]Cl,O=S(=O)[NH]Cl,Valid
7,5,Epoxides,[CX4]1[CX4][OX2]1,C1CO1,Valid
8,12,Dialkyl sulfonates,[CX4][Sv6X4](=[OX1])(=[OX1])[OX2][CX4],COS(C)(=O)=O,Valid
9,13,Dialkyl sulfates,[CX4][OX2][Sv6X4](=[OX1])(=[OX1])[OX2][CX4],COS(=O)(=O)OC,Valid
10,11,Ring strained amides,[NX3H1]1[CX4][CX4][CX3]1(=[OX1]),O=C1CC[NH]1,Valid
11,18,Hydroquinones,[OH1]c1ccc([OH1])cc1,[OH]c1ccc([OH])cc1,Valid
12,16,Catechols,[OH1]c1c([OH1])cccc1,[OH]c1ccccc1[OH],Valid
13,18,Resorcinols,[OH1]c1cc([OH1])ccc1,[OH]c1cccc([OH])c1,Valid
14,16,O-Alkyl hydroquinones precursors,[OH1]c1ccc([OX2][CX4])cc1,COc1ccc([OH])cc1,Valid
15,16,O-Alkyl resorcinols precursors,[OH1]c1cc([OX2][CX4])ccc1,COc1cccc([OH])c1,Valid
16,14,O-Alkyl catechols precursors,[OH1]c1c([OX2][CX4])cccc1,COc1ccccc1[OH],Valid
17,4,Thiols,[#16X2H1],[SH],Valid
18,7,Hydroperoxides and precursors,[#6][OX2][OX2][OH1],COO[OH],Valid
19,7,Dithiocarbamates,[SX2][CX3](=[SX1])[NX3],NC(S)=S,Valid
20,3,Nitroso (general),[NX2]=[OX1],N=O,Valid
21,3,Azo-type (general),[NX2]=[NX2],N=N,Valid
22,5,Alkyl nitrite (specific),[OX1]=[NX2][OX2][CX4],CON=O,Valid
23,5,Epoxide (specific),[CX4]1[OX2][CX4]1,C1CO1,Valid
24,8,Aziridine (specific),[CX4]1[NX3H1][CX4]1,C1C[NH]1,Valid
25,4,Triazene (specific),[NX3!R][NX2!R]=[NX2!R],NN=N,Valid
26,32,Bay-region in polycyclic aromatic hydrocarbons (specific),[cR1H1]1[cR1H1][cR1][cR1][cR2]2[cR2]1[cR2]3[cR2]([cR1][cR1]2)[cR1][cR1][cR1H1][cR1H1]3,c1cc2ccc3cc[cH][cH]c3c2[cH][cH]1,Valid
27,32,K-region in polycyclic aromatic hydrocarbons (specific),[cR1]1[cR1][cR1][cR1H1][cR2]2[cR2]1[cR2]3c([cR1H1][cR1H1]2)[cR1H1][cR1][cR1][cR1]3,c1c[cH]c2[cH][cH]c3[cH]cccc3c2c1,Valid
28,11,Sulfonate-bonded carbon atom (additional),[CX4][Sv6X4](=[OX1])(=[OX1])[OX2],CS(O)(=O)=O,Valid
29,6,"α, β-Unsaturated aldehyde (additional)",[CX3]=[CX3][CX3;H1]=[OX1],C=CC=O,Valid
30,8,β-Propiolactone (additional),[OX2]1[CX4][CX4][CX3]1(=[OX1]),O=C1CCO1,Valid
31,11,"α,β-Unsaturated alkoxy (additional)",[CX4][OX2][CX3H1]=[CX3H1],CO[CH]=[CH],Valid
32,7,N-Methylol derivatives,[OX2;H1][CH2][NX3],N[CH2]O,Valid
33,5,Alkyl nitrite,[OX1]=[NX2][OX2][CX4],CON=O,Valid
34,2,Hydrazine,[NX3;!$([NX3](=[OX1])=[OX1]);!$([NX3+](=[OX1])[O-])][NX3;!$([NX3](=[OX1])=[OX1]);!$([NX3+](=[OX1])[O-])],NN,Valid
35,5,Alkyl and aryl N-nitroso groups,[#6][NX3][NX2]=[OX1],CNN=O,Valid
36,6,"α, β-Unsaturated aliphatic alkoxy group",C[CX3;H1]=[CX3;H1][OX2][#6],CC=COC,Valid
37,18,Aromatic ring N-oxide,[O-][N+]1=CC=CC=C1,[O-][N+]1=CC=CC=C1,Valid
38,8,N-Nitroso-N-dialkylamines,[NX3]([CX4])([CX4])[NX2]=[OX1],CN(C)N=O,Valid
39,10,N-Nitroso-N-alkylnitriles,[OX1]=[NX2][NX3]([CX4])[CX2]#[NX1],CN(C#N)N=O,Valid
40,11,N-Nitroso-N-hydroxylamines,[OX1]=[NX2][NX3]([OH1])[#6],CN([OH])N=O,Valid
41,8,Propiolactones,[OX2]1[CX4][CX4][CX3]1(=[OX1]),O=C1CCO1,Valid
42,5,Isocyanate,[NX2]=[CX2]=[OX1],N=C=O,Valid
43,5,Isothiocyanate,[NX2]=[CX2]=[SX1],N=C=S,Valid
44,18,Aromatic rings N-oxides,[O-][N+]1=CC=CC=C1,[O-][N+]1=CC=CC=C1,Valid
45,7,N-Chloroamines,[#6][NX3]([#6])Cl,CN(C)Cl,Valid
46,5,Aromatic and aliphatic aziridinyl derivatives,[CX4]1[NX3][CX4]1,C1CN1,Valid
47,7,Derivatives of urethane (carbamates),[NX3][CX3](=[OX1])[OX2],NC(O)=O,Valid
48,10,Primary alkyl amines,[CH2][NH2],[CH2][NH2],Valid
49,18,Tertiary alkyl amines,[CH2][NX3]([CH3])[CH3],[CH2]N([CH3])[CH3],Valid
50,20,Anthracene and anthracene-containing compounds,c1ccc2cc3ccccc3cc2c1,c1ccc2cc3ccccc3cc2c1,Valid
51,22,Phenanthrene and phenanthrene-containing compounds,c1ccc2c(c1)ccc3ccccc23,c1ccc2c(c1)ccc1ccccc12,Valid
52,13,Acylimidazoles,[#6][CX3](=[OX1])n1cncc1,CC(=O)n1ccnc1,Valid
53,19,Acylbenzotriazoles,[#6][CX3](=[OX1])n1nnc2ccccc12,CC(=O)n1nnc2ccccc21,Valid
54,7,Anhydrides and mixed anhydrides,[CX3](=[OX1])[OX2][CX3](=[OX1]),O=COC=O,Valid
55,7,Carbodiimides,[#6][NX2]=[CX2]=[NX2][#6],CN=C=NC,Valid
56,4,Thiocyanates,[SX2][CX2]#[NX1],N#CS,Valid
57,21,Sulfonylanhydrides,[#6][Sv6X4](=[OX1])(=[OX1])[OX2][Sv6X4](=[OX1])(=[OX1])[#6],CS(=O)(=O)OS(C)(=O)=O,Valid
58,12,Alkylsulfonates,[#6][Sv6X4](=[OX1])(=[OX1])[OX2][CX4],COS(C)(=O)=O,Valid
59,6,All types of 3-valent phosphorus and similar (1),[Pv3X3]([#8])([#8])[#8],OP(O)O,Valid
60,6,All types of 3-valent phosphorus and similar (5),[Pv3X3]([#6])([#6])([#6]),CP(C)C,Valid
61,6,All types of 3-valent phosphorus and similar (9),[Pv3X3]([#7])([#7])[#7],NP(N)N,Valid
62,12,All types of 3-valent phosphorus and similar (10),[PX4+]([#6])([#6])([#6])([#6]),C[P+](C)(C)C,Valid
63,7,Thiones,[#6][CX3](=[SX1])[#6],CC(C)=S,Valid
64,7,Thioamides,[#6][CX3](=[SX1])[#7],CC(N)=S,Valid
65,2,Peroxides,[OX2][OX2],OO,Valid
66,2,Acyclic disulfides and polysulfides,[SX2!R][SX2!R],SS,Valid
67,4,Nitroso,[#6][NX2]=[OX1],CN=O,Valid
68,4,N-Nitroso,[#7][NX2]=[OX1],NN=O,Valid
69,5,Azo,[#6][NX2]=[NX2][#6],CN=NC,Valid
70,5,Aldimines and ketimines,[#6][CX3]=[NX2][#6],CC=NC,Valid
71,5,Hydrazones and similar,[CX3]=[NX2][NX3][#6],CNN=C,Valid
72,6,Hydroxylamines,[OH1][NX3][#6],CN[OH],Valid
73,3,Aminals,N[CX4]N,NCN,Valid
74,12,Ammonium salts,[NX4+]([#6])([#6])([#6])([#6]),C[N+](C)(C)C,Valid
75,9,Sulfonium salts,[SX3+]([#6])([#6])([#6]),C[S+](C)C,Valid
76,9,Acrylates and similar,[CX3](=[OX1])([#8])[CX3]=[CX3],C=CC(O)=O,Valid
77,9,Acrylamides,[CX3](=[OX1])([#7])[CX3]=[CX3],C=CC(N)=O,Valid
78,9,Vinylketones and similar,[CX3](=[OX1])([#6])[CX3]=[CX3],CC(=O)C=C,Valid
79,10,Vinylsulfones and similar,[Sv6X4](=[OX1])(=[OX1])[CX3]=[CX3],C=CS(=O)=O,Valid
80,6,Acrylonitriles,[NX1]#CC=C,C=CC#N,Valid
81,12,Vinylphosphonates and similar,[Pv5X4](=[OX1])([#8])([#8])[CX3]=[CX3],C=CP(O)(O)=O,Valid
82,14,Cyclic maleimide-like Michael acceptors,C1(=[OX1])C=CC(=[OX1])[NX3]1,O=C1C=CC(=O)N1,Valid
83,5,Ketenes,[CX3]=[CX2]=[OX1],C=C=O,Valid
84,5,Allenes,C=C=C,C=C=C,Valid
85,5,Oxiranes,[CX4]1[OX2][CX4]1,C1CO1,Valid
86,5,Thiiranes,[CX4]1[SX2][CX4]1,C1CS1,Valid
87,5,Aziridines,[CX4]1[NX3][CX4]1,C1CN1,Valid
88,6,Oxetanes,[CX4]1[OX2][CX4][CX4]1,C1COC1,Valid
89,6,Thietanes,[CX4]1[SX2][CX4][CX4]1,C1CSC1,Valid
90,6,Selen in chain,[Sev2X2],[SeH2],Valid
91,12,O-Silyl derivatives,[Si]([#8])([#6])([#6])([#6]),C[Si](C)(C)O,Valid
92,12,N-Silyl derivatives,[Si]([#7])([#6])([#6])([#6]),C[Si](C)(C)N,Valid
93,4,Iodoso and similar hypervalent compounds,[OX1]=[I!X1][#6],CI=O,Valid
94,7,Linear thioureas,N[CX3](=[SX1])N,NC(N)=S,Valid
95,7,Linear dithiocarbamates,N[CX3](=[SX1])S,NC(S)=S,Valid
96,7,Trithiocarbonates,[CX3](=[SX1])(S)S,SC(S)=S,Valid
97,7,Thioester,[CX3](=[SX1])([#6])S,CC(S)=S,Valid
98,11,Bunte salts,[Sv6X4](=[OX1])([#8])([#8])[SX2][#6],CSS(O)(O)=O,Valid
99,1,Positively charged N-heterocycles,[#7v4X3R],N,Valid
100,18,Ortho-hydroxysubstituted methyl phenyl ether,c1([OH])c(O[CH3])cccc1,[CH3]Oc1ccccc1[OH],Valid
101,20,Para-hydroxysubstituted methyl phenyl ether,c1([OH])ccc(O[CH3])cc1,[CH3]Oc1ccc([OH])cc1,Valid
102,22,Para-hydroxysubstituted iso-allyl benzene,c1c([OH])ccc(C=C[CH3])c1,[CH3]C=Cc1ccc([OH])cc1,Valid
103,25,Para-hydroxysubstituted allylbenzene,c1([OH])ccc([CH2][CH]=[CH2])cc1,C=[CH][CH2]c1ccc([OH])cc1,Valid
104,27,Para-methoxysubstituted allylbenzene,c1(O[CH3])ccc([CH2][CH]=[CH2])cc1,C=[CH][CH2]c1ccc(O[CH3])cc1,Valid
105,18,α-Naphthols,[OH]c1cccc2ccccc12,[OH]c1cccc2ccccc12,Valid
106,12,Dialkyl carbamoylchloride,[NX3]([CX4])([CX4])[CX3](=[OX1])Cl,CN(C)C(=O)Cl,Valid
107,12,Sulfonic acid esters,[#6][Sv6X4!R](=[OX1])(=[OX1])[OX2!R][#6],COS(C)(=O)=O,Valid
108,13,Sulfuric acid esters,[#6][OX2!R][Sv6X4!R](=[OX1])(=[OX1])[OX2!R][#6],COS(=O)(=O)OC,Valid
109,13,Phosphoric acid ester,[Pv5X4]([OX2][#6])([OX2][#6])([OX2][#6])(=[OX1]),COP(=O)(OC)OC,Valid
110,9,"α, β-Unsaturated amides",[#6]=[#6][CX3](=[OX1])[NX3],C=CC(N)=O,Valid
111,6,"α, β-Unsaturated nitriles",C=CC#[NX1],C=CC#N,Valid
112,11,"α, β-Unsaturated aldehydes",C=C[CX3]([H])=[OX1],[H]C(=O)C=C,Valid
113,10,"α, β-Unsaturated sulfones",[#6]=[#6][Sv6X4](=[OX1])(=[OX1]),C=CS(=O)=O,Valid
114,10,"α, β-Unsaturated carboxylic acid ester (acrylates)",[#6]=[#6][CX3](=[OX1])[OX2][#6],COC(=O)C=C,Valid
115,12,"α, β-Unsaturated carboxylic acid",[CX3]=[CX3][CX3](=[OX1])[OX2H1],C=CC(=O)[OH],Valid
116,12,Ammonium compounds,[NX4+]([CX4])([CX4])([CX4])([CX4]),C[N+](C)(C)C,Valid
117,9,Sulfonium compounds,[SX3+]([CX4])([CX4])([CX4]),C[S+](C)C,Valid
118,2,Iodine,II,II,Valid
119,8,Hydrogen peroxide,[#1][OX2][OX2][#1],[H]OO[H],Valid
120,3,Sulfoxides,[Sv4X3](=[OX1]),O=S,Valid
121,2,Sulfenyl iodides,[SX2][IX1],SI,Valid
122,4,Sulfoxides of aliphatic disulfides,[SX2][Sv4X3](=[OX1]),O=SS,Valid
123,8,Thiosulfonates,[SX2][Sv6X4](=[OX1])(=[OX1]),O=S(=O)S,Valid
124,8,Carboxy disulfides,[SX2][SX2][CX3](=[OX1])[OX2],OC(=O)SS,Valid
125,7,Arsenic (III) compounds,[OX1]=[AsX2],O=[AsH],Valid
126,41,DDT (dichlorodiphenyltrichloroethane) and analogues,c1cc(ccc1[CH1](C(Cl)(Cl)Cl)c1ccc(cc1)Cl)Cl,Clc1ccc([CH](c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,Valid
127,5,Organotin compounds,[Sn][#6],C[Sn],Valid
128,8,β-Lactones,C1C(=O)OC1,O=C1CCO1,Valid
129,8,Thio-lactones,C1C(=O)SC1,O=C1CCS1,Valid
130,10,Dithiocarbonimidic acid esters,[#6]N=C(S[#6])S[#6],CN=C(SC)SC,Valid
