,Functional grp name,SMARTS,Smiles
0,Acid halides,"[F,Cl,Br][CX3](=[OX1])[#1,*&!$([OH1])&!$([SH1])]",*C(*)=O
1,Acid azides,"[CX3](=[OX1])[$([NX2]=[NX2+]=[NX1-]),$(N=[NX2+]=N),$([NX2-]-[NX2+]#[NX1])]",*C=O
2,Sulphonyl halides,"[#6][Sv6X4](=[OX1])(=[OX1])[Cl,Br]",*S(C)(=O)=O
3,Sulphonyl azides,"[Sv6X4](=[OX1])(=[OX1])[$([NX2]=[NX2+]=[NX1-]),$([NX2]=[NX2+]=N)]",*S(=O)=O
4,Acid anhydrides,[CX3](=[OX1])[OX2][CX3](=[OX1]),O=COC=O
5,Diacyl peroxides,[CX3](=[OX1])[OX2][OX2][CX3](=[OX1]),O=COOC=O
6,Phenyl esters,[cR1]1([OX2][CX3](=[OX1])[#6])[cR1][cR1][cR1][cR1][cR1]1,CC(=O)Oc1ccccc1
7,Isocyanates,[NX2]=[CX2]=[OX1],N=C=O
8,β-Lactams,[NX3]1[CX4][CX4][CX3]1(=[OX1]),O=C1CCN1
9,Thioesters,[CX3](=[SX1])[SX2],SC=S
10,Haloalkanes,"[CX4][Cl,Br,I]",*C
11,Dialkylsulfates/ sulfonates,"[$([#6][OX2][Sv6X4](=[OX1])(=[OX1])[OX2][#6]),$([#6][Sv6X4](=[OX1])(=[OX1])[OX2][#6])]",*
12,N-Trihalomethyl imides,"[CX3](=[OX1])[NX3]([CX4]([Cl,Br,I])([Cl,Br,I])[Cl,Br,I])[CX3](=[OX1])",*C(*)(*)N(C=O)C=O
13,Quinones,"[$([#6X3]1=,:[#6X3]-,:[#6X3](=[OX1])-,:[#6X3]=,:[#6X3]-,:[#6X3]1(=[OX1])),$([#6X3]1(=[OX1])-,:[#6X3](=[OX1])-,:[#6X3]=,:[#6X3]-,:[#6X3]=,:[#6X3]1)]",*
14,Hydroquinones and O-alkyl precursors,"[#1,CX4][OX2][cR1]1[cR1][cR1][cR1]([OX2][#1,CX4])[cR1][cR1]1",*Oc1ccc(O*)cc1
15,Catechols and O-alkyl precursors,"[#1,CX4][OX2][cR1]1[cR1]([OX2][#1,CX4])[cR1][cR1][cR1][cR1]1",*Oc1ccccc1O*
16,"α, β-Unsaturated aldehydes, amides, esters and ketones","[$([CX3]([#6,$([NX3]([CX3]=[OX1])([#6])[#6]),$([OX2]([CX3]=[OX1])[#6]);!$([OH][CX3]=[OX1]);!$([O-][CX3]=[OX1])])(=[OX1])[CX3]([#6,#1])=[CX3]([!a])([!a])),$([CX3H1](=[OX1])[CX3]([#6,#1])=[CX3])]",*
17,"Precursors of α, β-unsaturated aldehydes, amides, esters and ketones (1)","[$([CX4]([OX2])([OX2])([#6,#7,#8])[CX3]([#6,#1])=[CX3]([!a])([!a])),$([CX4H1]([OX2])([OX2])[CX3]([#6,#1])=[CX3])]",*
18,"1,3-Diketones","[CX4,a!r0][CX3](=[OX1])[CH2][CX3](=[OX1])[CX4,a!r0]",*C(=O)[CH2]C(*)=O
19,Aldehydes,"[CX3]([H])(=[OX1])[#1,CX4,a!r0]",*C([H])=O
20,Ketones,"[CX4,a!r0][CX3](=[OX1])[CX4,a!r0]",*C(*)=O
21,Formaldehyde donors,"[$([NX3][CH2][NX3]),$([NX3][CH2][OX2]),$([CX4]([F,Cl,Br,I])([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])])[CH2][OH1])]",*
22,Precursors of aldehydes and ketones,"[CX4]([OX2])([OX2])([CX4,a!r0])[CX4,a!r0]",*C(*)(O)O
23,Enol precursor of aldehydes and ketones,"[CX3]=[CX3]([#6,#1])[OX2]",*C(=C)O
24,Aromatic primary and secondary amines,"[a!r0][$([NX3H2]),$([NX3H1][CX4,a!r0])]",**
25,N-Haloimides,"[CX3](=[OX1])[NX3]([Cl,Br])[CX3](=[OX1])",*N(C=O)C=O
26,N-Chloro-sulfonamides,[Sv6X4](=[OX1])(=[OX1])[NX3H1]Cl,O=S(=O)[NH]Cl
27,Disullides,"[CX4,a!r0][SX2][SX2][CX4,a!r0]",*SS*
28,Phenyl carbonates,"c1ccccc1[OX2][CX3](=[OX1])[OX2][CX4,a!r0]",*OC(=O)Oc1ccccc1
29,Epoxides,[CX4]1[CX4][OX2]1,C1CO1
30,1.2-Dicarbonyls,"[CX4,a!r0][CX3](=[OX1])[CX3](=[OX1])[#1,CX4,a!r0]",*C(=O)C(*)=O
31,Thiazolones,"[$([SX2]1[CX3]([CX4,a!r0])=[CX3]([CX4,a!r0])[CX3](=[OX1])[NX3]1([CX4,a!r0])),$([sX2]1[cX3]([CX4,a!r0])[cX3]([CX4,a!r0])[cX3](=[OX1])[nX3]1([CX4,a!r0]))]",*
32,"1, 2-Diamines","[CX4,a!r0][NX3H1][CX4][CX4][NX3H1][CX4,a!r0]",*[NH]CC[NH]*
33,Quaternary ammonium cation,"[NX4+]([CX4,a!r0])([CX4,a!r0])([CX4,a!r0])[CX4,a!r0]",*[N+](*)(*)*
34,Activated N-heterocycle halides,"[$(n1c([F,Cl])ncnc1),$(n1c([F,Cl])ccnc1),$(n1c([F,Cl])nccc1)]",*
35,Aromatic sulphuric acids and salts,"[a!r0][Sv4X3](=[OX1])[$([OH]),$([O-])]",*S(*)=O
36,Iso(thio)cyanates,"[NX2]=[CX2]=[OX1,SX1]",*=C=N
37,Acid imides,"[NX3]1([#1,#6])[CX3](=[OX1])[CX3]([!R])=[CX3]([!R])[CX3]1(=[OX1])",*C1=C(*)C(=O)N(*)C1=O
38,Activated N-heterocycles,"[$(n1c([F,Cl,$([CX2]#[NX1])])nccc1),$(n1cnccc1([F,Cl,$([CX2]#[NX1])])),$(n1cncnc1([F,Cl,$([CX2]#[NX1])]))]",*
39,Dialkyl sulfonates,[CX4][Sv6X4](=[OX1])(=[OX1])[OX2][CX4],COS(C)(=O)=O
40,Dialkyl sulfates,[CX4][OX2][Sv6X4](=[OX1])(=[OX1])[OX2][CX4],COS(=O)(=O)OC
41,Ring strained amides,[NX3H1]1[CX4][CX4][CX3]1(=[OX1]),O=C1CC[NH]1
42,Aldehydes and precursors,"[$([#1,#6;!$(C=C);!$(C#C)][CX3]([H])(=[OX1])),$([CX4;H1]([OX2])[OX2])]",*
43,"α, β-Unsaturated carbonyls","[CX3]=[CX3][CX3](=[OX1])[$([OX2]([CX3]=[OX1])[!#1]),$([#1][CX3]=[OX1]),$([NX3H2]([CX3]=[OX1])),$([NX3]([CX3]=[OX1])),$([CX4][CX3]=[OX1])]",*C(=O)C=C
44,Hydroquinones,[OH1]c1ccc([OH1])cc1,[OH]c1ccc([OH])cc1
45,Catechols,[OH1]c1c([OH1])cccc1,[OH]c1ccccc1[OH]
46,Resorcinols,[OH1]c1cc([OH1])ccc1,[OH]c1cccc([OH])c1
47,O-Alkyl hydroquinones precursors,[OH1]c1ccc([OX2][CX4])cc1,COc1ccc([OH])cc1
48,O-Alkyl resorcinols precursors,[OH1]c1cc([OX2][CX4])ccc1,COc1cccc([OH])c1
49,O-Alkyl catechols precursors,[OH1]c1c([OX2][CX4])cccc1,COc1ccccc1[OH]
50,Thiols,[#16X2H1],[SH]
51,Disulfides,*[#16X2][#16X2]*,*SS*
52,Diaryl peroxides,[a!r0][CX3](=[OX1])[OX2][OX2][CX3](=[OX1])[a!r0],*C(=O)OOC(*)=O
53,Arylacyl peroxides,[a!r0][CX3](=[OX1])[OX2][OX2][CX3](=[OX1])[A],*C(=O)OOC(*)=O
54,Haloamides,"[#6][CX3](=[OX1])[NX3]([F,Cl,Br,I])[#6]",*N(C)C(C)=O
55,Hydroperoxides and precursors,[#6][OX2][OX2][OH1],COO[OH]
56,"1,2-Dihydroxy aromatic compounds",[OH1]aa[OH1],[OH]*:*[OH]
57,"1,4-Dihydroxy aromatic compounds",[OH1]aaaa[OH1],[OH]*:*:*:*[OH]
58,2 or 4-Hydroxysubstituted alkylphenyl ether,"[$(c1c([OX2][CX4])c([OH1])ccc1),$(c1c([OX2][CX4])ccc([OH1])c1)]",*
59,Aromatic amines,"[a!r0][$([NX3H2]),$([NX3H1][#6])]",**
60,Aromatic amines precursors,"[$([a!r0][NH1][CX3](=[OX1])),$(c1c([NX2]=[NX2][a!r0])ccc([$([NX3]([CX4])([CX4])),$([NX3H1][CX4]),$([NH2]),$([OH1])])c1)]",*
